family_id	n_members	graph_score	core_cols	n_scored
FAM219	4	0.253	1038	4
FAM220	4	0.223	837	4
FAM221	4	1.018	522	4
FAM222	4	0.055	162	4
FAM223	4	0.922	941	4
FAM224	4	0.744	548	4
FAM225	4	0.353	268	4
FAM226	4	0.515	1421	4
FAM227	4	1.005	1315	4
FAM228	4	0.601	1403	4
FAM229	4	0.375	912	4
FAM230	4	0.008	39	3
FAM231	4	0.379	327	4
FAM232	4	0.405	537	4
FAM233	4	0.095	465	4
FAM234	4	1.112	546	4
FAM235	4	0.727	1314	4
FAM236	4	0.023	43	4
FAM237	4	0.398	329	4
FAM238	4	0.227	497	4
FAM239	4	0.373	322	4
FAM240	4	0.811	655	4
FAM241	4	0.979	535	4
FAM242	4	0.118	55	4
FAM243	4	0.653	811	4
FAM244	4	0.054	183	4
FAM245	4	0.284	303	4
FAM246	4	0.166	467	4
FAM247	4	0.503	1172	4
FAM248	4	0.075	119	4
FAM249	4	0.977	2326	4
FAM250	4	0.637	391	4
FAM251	4	0.601	448	4
FAM252	4	0.399	709	4
FAM253	4	0.179	1353	4
FAM254	4	0.029	86	4
FAM255	4	0.82	1677	4
FAM256	4	0.444	601	4
FAM257	4	0.134	131	4
FAM258	4	0.712	1548	4
FAM259	4	0.103	232	4
FAM260	4	0.339	195	4
FAM261	4	0.583	238	4
FAM262	4	0.178	239	4
FAM263	4	0.505	474	4
FAM264	4	0.356	454	4
FAM265	4	0.818	311	4
FAM266	4	0.657	948	4
FAM267	4	0.211	553	4
FAM268	4	1.001	416	4
FAM269	4	0.177	610	4
FAM270	4	0.084	213	4
FAM271	4	0.352	1278	4
FAM272	4	0.431	298	4
FAM273	4	0.564	840	4
FAM274	4	0.692	393	4
FAM275	4	1.082	119	4
FAM276	4	0.709	381	4
FAM277	4	0.388	230	4
FAM278	4	0.091	107	4
FAM279	4	0.993	365	4
FAM280	4	0.327	437	4
FAM281	4	0.174	761	4
FAM282	4	0.068	99	4
FAM283	4	0.088	240	4
FAM284	4	0.09	807	4
